,has_wiki,url,wiki_categories,wiki_content,wiki_summary,wiki_toc,fact,bias
0,0,constitution.com,,,,,2,5
1,0,patriotpost.us,,,,,2,4
2,0,brexitcentral.com,,,,,0,0
3,0,fury.news,,,,,0,3
4,0,empiresports.co,,,,,0,0
5,0,foreignpolicynews.org,,,,,1,1
6,0,emirates247.com,,,,,1,1
7,0,samuel-warde.com,,,,,1,5
8,0,trueactivist.com,,,,,1,1
9,0,popularresistance.org,,,,,0,6
10,0,thebeaverton.com,,,,,0,3
11,0,itv.com-news,,,,,2,4
12,0,forwardprogressives.com,,,,,1,5
13,0,politicalmayhem.news,,,,,0,6
14,0,triggerreset.net,,,,,1,5
15,0,dcclothesline.com,,,,,0,3
16,1,freebeacon.com,category american conservative websites category american journalism organizations category american news websites category american online magazines category american political blogs category american political websites category conservatism in the united states category criticism of journalism category internet properties established in 2012 category news aggregators,"    '''''the washington free beacon''''' is an  united states american   conservatism in the united states conservative   political journalism  website launched in 2012. it states that it is ""dedicated to uncovering the stories that the powers that be hope will never see the light of day"" and producing ""in-depth investigative reporting on a wide range of issues, including public policy, government affairs, international security, and media."" in august 2014, it announced it was becoming a for-profit news site. fusion gps would later hire former british intelligence officer  christopher steele  and produce  trump–russia dossier a dossier  alleging links between the trump campaign and the kremlin.  paul singer  businessman  paul singer , a billionaire and hedge fund manager, who is a major donor to the ''free beacon'', said he was unaware of this dossier until it was published by '' buzzfeed '' in january 2017. the ''free beacon'' has also published pieces that have sought to portray the work by fusion gps as unreliable ""without noting that it considered fusion gps reliable enough to pay for its services.""  its tactics have also led to attacks from media critics and watchdog groups.  the atlantic the atlantic 's  conor friedersdorf  called the <i>free beacon</i>'s mission ""decadent and unethical"". mckay coppins in the '' columbia journalism review '' writes of the free beacon that while the website contains ""a fair amount of trolling... it has also earned a reputation for real-deal journalism...if a partisan press really is the future, we could do worse than the ''free beacon''."" in 2015, '' mother jones  magazine  mother jones '' wrote positively of the free beacon, noting that it is far better than contemporary conservative outlets such as ''the daily caller''.    see also      alternative media  u.s. political right      references       external links         category american political websites   category news aggregators   category american conservative websites   category american political blogs   category conservatism in the united states   category criticism of journalism   category american news websites   category political organizations in the united states   category american journalism organizations   category internet properties established in 2012   category american online magazines ","the washington free beacon is an american conservative political journalism website launched in 2012. it states that it is ""dedicated to uncovering the stories that the powers that be hope will never see the light of day"" and producing ""in-depth investigative reporting on a wide range of issues, including public policy, government affairs, international security, and media.""  ",history reception see also references external links,0,3
17,1,villagevoice.com,category 1955 establishments in new york  state  category 2018 disestablishments in new york  state  category alternative weekly newspapers published in the united states category articles with short description category cs1 maint  archived copy as title category commons category link is on wikidata category coordinates not on wikidata category defunct newspapers of new york  state  category greenwich village category newspapers published in new york city,"    s ideological rival paper '' national review '', which referred to hentoff as a ""treasure"".  in may 2013, ''the village voice'' editor will bourne and deputy editor jessica lustig told '' the new york times '' that they were quitting the paper rather than executing further staff layoffs.     peter barbey ownership and construction     peter barbey , through the privately owned investment company black walnut holdings llc, purchased ''the village voice'' from voice media group in october 2015. the last news article published was an august 31 piece by freelancer steven wishnia about tenants returning to their building after safety concerns had prompted its evacuation..   according to the nyt, $22 million annually on backpage came from prostitution and the sale of mostly under age girls to its customers. apparently it had a corner on the market share of similar web pages that included under age human sex trafficking at approximately 70%.  after repeated calls for a boycott of the village voice, the company was sold to voice media group.    see also      gear  village voice  gear     media of new york city     references       further reading      carson, tom.   official site.    category the village voice     category alternative weekly newspapers published in the united states   category publications established in 1955   category newspapers published in new york city   category greenwich village   category 1955 establishments in new york  state    category 2018 disestablishments in new york  state    category publications disestablished in 2018   category defunct newspapers of new york  state    category online periodicals with defunct print editions ","the village voice was an american news and culture paper, known for being the country's first alternative newsweekly. founded in 1955 by dan wolf, ed fancher, john wilcock, and norman mailer, the voice began as a platform for the creative community of new york city.  it still is kept alive online. over its 63 years of publication, the village voice received three pulitzer prizes, the national press foundation award, and the george polk award. the village voice hosted a variety of writers and artists, including writer ezra pound, cartoonist lynda barry, and art critics robert christgau, andrew sarris, and j. hoberman. in october 2015, the village voice changed ownership and severed all ties with former parent company voice media group  vmg . the voice announced on august 22, 2017, that it would cease publication of its print edition and convert to a fully digital venture, on a date to be announced. the final printed edition, featuring a 1965 photo of bob dylan on the cover, was distributed on september 21, 2017.after halting print publication in 2017, the voice provided daily coverage through its website until august 31, 2018, when it announced it was ceasing production of new editorial content.  ",history early history acquisition by new times media voice media group peter barbey ownership and construction contributors backpage sex trafficking see also references further reading external links,0,0
18,0,liberaldarkness.com,,,,,2,2
19,1,loser.com,category all articles containing potentially dated statements category articles containing potentially dated statements from april 2018 category internet properties established in 1995 category internet trolling category political websites,"'''loser.com''' is a  domain name  which existed as a  url redirect  to several different webpages during most of its existence. , it is a news website that publishes articles opposing  president of the united states president   donald trump .    history   the loser.com domain name was registered in 1995 by brian connelly.   wikileaks  in 2010; an article about american politician  sean duffy  in 2011; and the  reddit  website in 2012. ryan gajewski of '' the hollywood reporter '' and christopher hooton of '' the independent '' both suggested that the domain name was a beck reference because "" loser  beck song  loser "" is one of beck's most notable songs. defending the move, connelly described trump as ""a man who attacks muslims, who attacks muslim americans, who pushes fear and doubt"" and ""the definition of a loser"".  when asked about his motives with his redirects, connelly said the year 2000 redirect to losing tennessee gubernatorial candidate bill daley's website was because “i think he was anti-gay”. he had ""no comment"" about the 2002 redirect to an opposition site targeting south carolina governor  jim hodges .     notes       references       external links       category internet properties established in 1995   category internet trolling   category political websites ","loser.com is a domain name which existed as a url redirect to several different webpages during most of its existence. as of april 2018, it is a news website that publishes articles opposing president donald trump.",history notes references external links,1,1
20,0,leftoverrights.com,,,,,2,5
21,1,insideclimatenews.org,category american online magazines category american websites category climate change category environment of the united states category environmental magazines category environmental websites category magazines established in 2007 category magazines published in new york city category pulitzer prize for national reporting winners,      external links          category environmental websites   category environmental magazines   category climate change   category pulitzer prize for national reporting winners   category american websites   category magazines published in new york city   category environment of the united states   category magazines established in 2007   category american online magazines ,"insideclimate news is a non-profit and non-partisan news organization, focusing on environmental journalism. the publication writes that it ""covers clean energy, carbon energy, nuclear energy and environmental science—plus the territory in between where law, policy and public opinion are shaped.""established in 2007, the brooklyn, new york-based website covers environmental issues. it won the 2013 pulitzer prize for national reporting for its coverage of the kalamazoo river oil spill.  ",history awards references external links,0,0
22,0,france24-tv.com,,,,,2,4
23,0,freewestmedia.com,,,,,0,0
24,0,inthesetimes.com,,,,,0,3
25,0,theguardiansofdemocracy.com,,,,,1,5
26,1,now8news.com,category all accuracy disputes category articles with disputed statements from december 2017 category cs1 maint  bot  original-url status unknown category cs1 maint  uses authors parameter category deception category dynamic lists category fake news category lists of websites,"   this is a list of  fake news site s. these sites intentionally, but not necessarily solely, publish  hoax es and  disinformation  for purposes other than  news satire .  some of these sites use  homograph spoofing attack s,  typosquatting  and other deceptive strategies similar to those used in  phishing  attacks to resemble genuine news outlets.  -  bizstandardnews.com  its stories have been mistaken as real-news then shared and cited as real-news.<p> its disclaimer says the stories ""could be true"" because ""reality is so strange nowadays"". but the disclaimer also says it is ""a satirical site designed to parody the 24-hour news cycle.""  -  bva news      -  daily buzz live   website dedicated in bringing bizarre stories for the sole purpose of getting traffic to its website.     not to be confused with the legitimate  but long-defunct   empire sports network .        -  -  news breaks here        -  now 8 news  now8news.com   started in 2015, this fake news website is also designed to look like a local television outlet. several of the website's fake stories have successfully spread on social media.    -  uconservative      -  washingtonpost.com'''.co'''  originally registered by jestin coler. ''the washington post'' submitted a complaint against coler's registration of the site with  godaddy  under the  uniform domain-name dispute-resolution policy udrp , and in 2015, an  arbitration arbitral panel  ruled that coler's registration of the  domain name  was a form of bad-faith  cybersquatting   specifically,  typosquatting  , ""through a website that competes with complainant through the use of fake news. ... the fake news content misleads readers and serves as 'click bait' to drive readers to other sites, or to share the fake news content with others on social networking websites, to generate advertising revenue.""     politicians have started filing laws to combat fake news   vera files  research at the end of 2017 and 2018 show that the most shared fake news in the philippines appeared to benefit 2 people the most  president  rodrigo duterte   as well as his allies  and politician  bongbong marcos , with the most viral news driven by shares on networks of  facebook  pages. fake news is so established and severe in the philippines that facebook's global politics and government outreach director katie harbath also calls it ""patient zero""  -  360 news live  www.360news.live      -  ako'y pilipino  akoy-pilipino.blogspot.com      -  asian policy press  asianpolicy.press  ""...the owner of this blog makes no representations as to the accuracy or completeness of any information on this website..."".     -  balita online  balitaonline.xyz      -  balitang pinoy  balitangpinoy.ga      -  breaking news  latestnewz.xyz      -  caster ph  casterph.xyz      -  classified trends  classifiedtrends.net  down.    -  daily filipino  dailyfilipino.altervista.org      -  the daily sentry  thedailysentry.net  publishes false and misleading news constantly.  has disclaimer  ""the daily sentry does not make any warranties about the completeness, reliability and accuracy of this information.""    -  dakila.info  dakila.info      -  du30 today  du30today.com      -  duterte defender  dutertedefender.com      -  duterte federal  dutertefederal.info  biggest traffic generators on social media  silent no more ph, duterte worldwide supporters and president rodyduterte - federal movement international    -  dutrending  dutrending.info  largest traffic generators  facebook pages du30 trending news, duterte worldwide supporters and alan peter cayetano supporters international    -  extreme readers  extremereaders.com      -  go for win  goforwin.info     biggest traffic generators  pro-duterte facebook page managed by mocha uson,  mocha uson blog , president rody duterte facebook army and team duterte for federalism.    -  gossip diary  gossipdiary.com  biggest traffic generators on social media  president rody duterte - federal movement international, marcos loyalist and alan peter cayetano supporters international    -  kalye pinoy  kalyepinoy.com  now down/under construction.    -  media curious  mediacurious.com      -  minda nation  mindanation.com  owned by carlos munda    -  nagbabagang balita  nagbabagangbalita.info       -  online balita  onelinebalita.xyz      -  pilipinas online updates  www.pilipinasonlineupdates.com  takes some of its articles from balitang pinas. ""pilipinas online updates makes no representations, warranties, or assurances as to the accuracy, currency or completeness of the content contain  sic  onthis website or any sites linked to this site""    -  public trending  publictrending.net  down  publictrending.news  pinoytrending.altervista.org  ""...the owner of this blog makes no representations as to the accuracy or completeness of any information on this site or found by following any link on this site.""    -  socialcastph.info  socialcastph.info  biggest traffic generator pages from social media  president rodrigo duterte, marcos loyalist and alan peter cayetano supporters international   run by twinmark media enterprises, whose entire network of pages was banned by facebook in january of 2019 for spammy practices and ""coordinated inauthentic behavior"". 220 facebook pages, 73 facebook accounts and 29 instagram accounts were removed.  -  update.ph  update.ph      -  verified philippines  verifiedph.blogspot.com      -  viral portal  viralportal.ml       -  }    see also       clickbait     fake news by country     fake news websites in the united states     list of satirical news websites     references      category lists of websites   category deception   category fake news   ","this is a list of fake news sites. these sites intentionally, but not necessarily solely, publish hoaxes and disinformation for purposes other than news satire. some of these sites use homograph spoofing attacks, typosquatting and other deceptive strategies similar to those used in phishing attacks to resemble genuine news outlets.",definition list for philippine audiences see also references,2,5
27,0,republicworld.com,,,,,2,4
28,0,darientimes.com,,,,,0,0
29,0,conservativeoutfitters.com-blogs-news,,,,,1,1
30,1,nationalreport.net,category cs1 maint  bot  original-url status unknown category fake news category internet hoaxes category journalistic hoaxes category official website different in wikidata and wikipedia,"    '''national report''' is a  fake news website  that posts fictional articles related to world events. including the false report that the town of  purdon, texas , has been quarantined after an outbreak. his employment began shortly after national report went online. writing at the time, craig silverman of emergent.info saw national report as one of several websites which were ""not driven by trying to do comedy or satire, but by what kind of fake stuff can we spin up to get shares that earn us money"",    see also     list of fake news websites     references       external links        category internet hoaxes   category journalistic hoaxes   category fake news ","national report is a fake news website that posts fictional articles related to world events. it is described by snopes.com as a fake news site, by factcheck.org as a satirical site and by the washington post as part of a fake-news industry, making profits from ""duping gullible internet users with deceptively newsy headlines."" the national report describes itself as a ""news and political satire web publication"" and provides a disclaimer that ""all news articles contained within national report are fiction"". the disclaimer, however, is not printed on the main page, which instead claims that the website is ""america's #1 independent news source.""stories from the national report have been taken seriously by third parties such as fox news channel, and the site drew criticism in october 2014 for running a series of fake stories about ebola outbreaks in the united states, including the false report that the town of purdon, texas, has been quarantined after an outbreak. the story led to a traffic spike of two million unique visitors, and although the story was debunked by other websites, the original national report story received six times as many ""shares"" on social media sites as the debunking stories did.  ",history disclaimer misinterpretations see also references external links,2,5
31,0,amazingnews.net,,,,,2,4
32,0,timesheadline.com,,,,,1,1
33,0,home.nra.org,,,,,1,4
34,0,aceflashman.wordpress.com,,,,,1,4
35,1,breitbart.com,category 2007 establishments in the united states category all articles containing potentially dated statements category all articles with unsourced statements category alt-right category american conservative websites category american news websites category american political blogs category articles containing latin-language text category articles containing potentially dated statements from december 2018 category articles with short description,"       slogan               commercial        yes   type              politics<br/>news and opinion   registration      optional  required to comment    language          english   num_users            owner             breitbart news network, llc <br> wynton hall   managing editor <br> 61 us   syndicated american news, opinion and commentary and intentionally misleading stories. who declared the website ""the platform for the alt-right"" in 2016. in 2016, breitbart news became a virtual rallying spot for supporters of  donald trump's 2016 presidential campaign . and ceo, while  alex marlow  is the  editor-in-chief ,  wynton hall  is  managing editor , in august 2010, andrew breitbart told the  associated press  that he was ""committed to the destruction of the old media guard."" as part of that commitment, he founded breitbart.com, a website designed to become ""the '' huffington post '' of the right"" according to breitbart news's former executive chairman,  steve bannon .     2012–2016  after andrew breitbart's death        bannon assumes leadership      file joel_pollak.jpg thumb right upright  joel pollak , the senior editor-at-large of breitbart news since 2012  andrew breitbart died in march 2012. the website hosted a number of memorials for him. editors said they intended to carry on his legacy at the website. following andrew breitbart's death, former board member bannon became executive chairman and laurence solov became ceo. the company also hired  joel pollak  as editor-in-chief and  alex marlow  as managing editor. according to a 2014  pew research center  study, 3% of respondents got their news from breitbart in a typical week, and 79% of its audience report having political values that are right-of-center. and the  white nationalism white nationalist   identitarian movement . in august 2015, an article in buzzfeed reported that several anonymous breitbart news staffers claimed that  donald trump  had paid for favorable coverage on the site. the site's management strongly denied the charge. up to june 2016, breitbart news was the most cited news source on trump's presidential campaign website, donaldjtrump.com. later, breitbart news announced they would be willing to go to ""war"" with kellogg's over its decision to remove ads from the site. shortly afterwards, the site's senior editors asked staffers to stop writing stories critical of kushner. visitor traffic has fallen 53&nbsp;percent since november 2017, roughly twice the rate of other mainstream news sites since the 2016 election.   breitbart news has published a number of falsehoods and  conspiracy theory conspiracy theories , the center wrote that the website was openly promoting, and had become associated with, the beliefs of the  alt-right . the  zionist organization of america  rejected accusations of anti-semitism, saying that breitbart news instead ""bravely fights against anti-semitism"" and called for the adl to apologize. editors commented in 2015 that the site is a ""private company and we don't comment on who our investors or backers are."" in 2009, the site used audio from a conference call to accuse the  national endowment of the arts  of encouraging artists to create work in support of  social policy of barack obama president barack obama's domestic policy . the obama administration and the nea were accused of potentially violating the  hatch act of 1939 hatch act . the white house acknowledged regrets, and the story led to the resignation of a white house appointee, and new federal guidelines for how federal agencies should interact with potential grantees.      breitbart tech     on october 27, 2015, the website launched breitbart tech, a  technology journalism  subsection of the site that focuses on technology, gaming,  esports , and  internet culture .     regional sections         breitbart london     <!-- deleted image removed   file raheem kassam.jpg thumb  raheem kassam , editor of breitbart london  --> breitbart news's london edition was launched in february 2014. it was headed at the time by executive editor  james delingpole , described as a ""high traffic hire"" by '' the spectator 's'' steerpike column. rabbi  shmuley boteach  has been an occasional columnist. in it, sherrod said her reluctance to help a white man was wrong, and she had ended up assisting him. the naacp then reversed their rebuke of sherrod, weiner initially denied that he had sent a 21-year-old female college student the link to the photograph, but later admitted to inappropriate online relationships. on june 6, breitbart news reported other photos weiner had sent, including one that was sexually explicit. two days later, the sexually graphic photo was leaked after andrew breitbart participated in a radio interview with hosts  opie and anthony . andrew breitbart stated that the photo was published without his permission. breitbart news said that the story was based on exclusive information from u.s. senate sources. the story was later repeated by '' redstate '', on february 19, new york '' daily news  new york  daily news '' reporter dan friedman said that the story had originated from a sarcastic comment he had made to a congressional staffer. ""friends of hamas"" was one of several groups which friedman considered to be so over-the-top as to be implausible and obviously fictitious. he was investigating rumors that hagel had been paid for speaking to ""controversial organizations"", and asked sarcastically whether he had addressed ""friends of hamas."" friedman followed with an email to the congressional staffer asking if hagel had received a $25,000 fee from ""friends of hamas"" for his speaking engagement. no reply to the email was received, and the next day, breitbart news ran a story with the headline ""secret hagel donor?  white house spox ducks question on 'friends of hamas'.""     misidentification of loretta lynch    on november 8, 2014, breitbart news posted an article by warner todd huston, which erroneously reported that  loretta lynch , president barack obama's nominee for attorney general, had been part of  bill clinton 's defense team during the  whitewater scandal  about the  whitewater development corporation . in fact, the whitewater lawyer was a different loretta lynch. after this mistake was pointed out by '' talking points memo '' and  media matters for america , breitbart news noted that the two lynches were different people by correcting and appending the original article.  "" barack obama citizenship conspiracy theories birtherism "" . in '' devil's bargain '', however,  joshua green  journalist  joshua green  writes that breitbart never promoted birtherism. giving the impression of ""chaotic civil war-like conditions in germany, caused by islamist aggressors"" according to '' the guardian ''. the breitbart article, by  james delingpole , was cited by the  united states house committee on science, space, and technology , for which the latter itself was criticized.     wrongly picturing lukas podolski as a refugee    in august 2017, breitbart news featured a picture of professional german soccer player  lukas podolski  in an article entitled ""spanish police crack gang moving migrants on jet-skis"".  sonoma county, california sonoma county 's sheriff department responded to breitbart's reporting, ""this is completely false, bad, wrong information that breitbart started and is being put out into the public.""     references       further reading         external links             category alt-right   category american news websites   category breitbart news   category internet properties established in 2007   category media companies of the united states   category american political blogs   category tea party movement   category american conservative websites   category 2007 establishments in the united states ","breitbart news network  known commonly as breitbart news, breitbart or breitbart.com  is a far-right syndicated american news, opinion and commentary website founded in mid-2007 by conservative commentator andrew breitbart, who conceived it as ""the huffington post of the right."" its journalists are widely considered to be ideologically driven, and some of its content has been called misogynistic, xenophobic, and racist by liberals and many traditional conservatives alike. the site has published a number of lies, conspiracy theories, and intentionally misleading stories.breitbart news aligned with the alt-right under the management of former executive chairman steve bannon, who declared the website ""the platform for the alt-right"" in 2016. in 2016, breitbart news became a virtual rallying spot for supporters of donald trump's 2016 presidential campaign. the company's management, together with former staff member milo yiannopoulos, solicited ideas for stories from, and worked to advance and market ideas of, neo-nazi and white supremacist groups and individuals. after the election, more than 2,000 organizations removed breitbart news from ad buys following internet activism campaigns denouncing the site's controversial positions.breitbart news is headquartered in los angeles, with bureaus in texas, london, and jerusalem. co-founder larry solov is the co-owner  along with andrew breitbart's widow susie breitbart and the mercer family  and ceo, while alex marlow is the editor-in-chief, wynton hall is managing editor, and joel pollak and peter schweizer are senior editors-at-large.","history 2005–2012  creation and early years 2012–2016  after andrew breitbart's death bannon assumes leadership support for donald trump's 2016 presidential campaign 2016–present  after the 2016 election content and coverage accuracy and ideology main sections big hollywood big government big journalism national security breitbart tech radio regional sections breitbart london breitbart jerusalem breitbart texas notable stories acorn undercover videos shirley sherrod's remarks at naacp fundraiser anthony weiner sexting scandal ""friends of hamas"" story nancy pelosi/miley cyrus ad campaign misidentification of loretta lynch conspiracy theories about president obama conspiracy theories about hillary clinton false report of muslim mob in germany climate change denial wrongly picturing lukas podolski as a refugee false story about northern california wildfires references further reading external links",0,0
