Input.url,Answer.website
emirates247.com,https://en.wikipedia.org/wiki/Emirates_24/7
this.org,https://en.wikipedia.org/wiki/This_Magazine
thebeaverton.com,https://en.wikipedia.org/wiki/The_Beaverton
itv.com-news,https://en.wikipedia.org/wiki/ITV_News
ced.org,https://en.wikipedia.org/wiki/Committee_for_Economic_Development
inthesetimes.com,https://en.wikipedia.org/wiki/In_These_Times
rfa.org-english,https://en.wikipedia.org/wiki/Radio_Free_Asia
freewestmedia.com,https://en.wikipedia.org/wiki/V%C3%A1vra_Suk
bitchmedia.org,https://en.wikipedia.org/wiki/Bitch_(magazine)
republicworld.com,https://en.wikipedia.org/wiki/Republic_TV
campaignforliberty.org,https://en.wikipedia.org/wiki/Campaign_for_Liberty
americanbridgepac.org,https://en.wikipedia.org/wiki/American_Bridge_21st_Century
remnantnewspaper.com,https://en.wikipedia.org/wiki/The_Remnant_(newspaper)
calgarysun.com,https://en.wikipedia.org/wiki/Calgary_Sun
yahoo.com-news-?ref=gs,https://en.wikipedia.org/wiki/Yahoo!_News
southafricatoday.net,https://en.wikipedia.org/wiki/South_Africa_Today
lifezette.com,https://en.wikipedia.org/wiki/LifeZette
churchmilitant.com,N/A
circa.com,https://en.wikipedia.org/wiki/Circa_News
jointcenter.org,https://en.wikipedia.org/wiki/Joint_Center_for_Political_and_Economic_Studies
theskimm.com,https://en.wikipedia.org/wiki/The_Skimm
journalnow.com,https://en.wikipedia.org/wiki/Winston-Salem_Journal
iowastartingline.com,N/A
cityandstateny.com,https://en.wikipedia.org/wiki/City_%26_State
burrardstreetjournal.com,https://en.wikipedia.org/wiki/The_Burrard_Street_Journal
teapartypatriots.org,https://en.wikipedia.org/wiki/Tea_Party_Patriots
who.int-en,https://en.wikipedia.org/wiki/World_Health_Organization
historynewsnetwork.org,https://en.wikipedia.org/wiki/History_News_Network
yellowhammernews.com,https://en.wikipedia.org/wiki/Yellowhammer_News
people.com-politics,https://people.com/politics/
oann.com,https://en.wikipedia.org/wiki/One_America_News_Network
bigleaguepolitics.com,https://en.wikipedia.org/wiki/Big_League_Politics
monthlyreview.org,https://en.wikipedia.org/wiki/Monthly_Review
zcomm.org-zmag,https://en.wikipedia.org/wiki/Z_Communications
oathkeepers.org,https://en.wikipedia.org/wiki/Oath_Keepers
cctv-america.com,https://en.wikipedia.org/wiki/CGTN_America
atimes.com,https://en.wikipedia.org/wiki/Asia_Times
freepress.net,https://en.wikipedia.org/wiki/Free_Press_(organization)
allgov.com,https://en.wikipedia.org/wiki/David_Wallechinsky
ciponline.org,N/A
wikitribune.com,https://en.wikipedia.org/wiki/WikiTribune
foreignpolicyjournal.com,https://en.wikipedia.org/wiki/Foreign_Policy
news.trust.org,https://en.wikipedia.org/wiki/NewsTrust
eagletribune.com,https://en.wikipedia.org/wiki/The_Eagle-Tribune
russia-insider.com-en,https://en.wikipedia.org/wiki/Russia_Insider
